type,latitude,longitude,alt,name,color
T,-32.614244,-69.163624,2949,,green
T,-32.614326,-69.163609,2949.7,,green
T,-32.614337,-69.163552,2950.6,,green
T,-32.614363,-69.163485,2951.8,,green
T,-32.614385,-69.163421,2953,,green
T,-32.614408,-69.163345,2954.2,,green
T,-32.614434,-69.163271,2955.3,,green
T,-32.614469,-69.163218,2956.5,,green
T,-32.614496,-69.163122,2957.7,,green
T,-32.614539,-69.163067,2958.7,,green
T,-32.614574,-69.163031,2959.7,,green
T,-32.614599,-69.163016,2960.3999999999996,,green
T,-32.614612,-69.162962,2961.2,,green
T,-32.614663,-69.162914,2962.4,,green
T,-32.614748,-69.162877,2963.6,,green
T,-32.614799,-69.162851,2964.5,,green
T,-32.614824,-69.162824,2965.1000000000004,,green
T,-32.614845,-69.16281,2965.5,,green
T,-32.614857,-69.162776,2966,,green
T,-32.614871,-69.162769,2966.9,,green
T,-32.614875,-69.162727,2968.1000000000004,,green
T,-32.61489,-69.162678,2968.7,,green
T,-32.614922,-69.16264,2969.2,,green
T,-32.614956,-69.162632,2970.5,,green
T,-32.614961,-69.162593,2971.7,,green
T,-32.614993,-69.162535,2972.8,,green
T,-32.615034,-69.162489,2974,,green
T,-32.615071,-69.162461,2975.1,,green
T,-32.615098,-69.162439,2976.1,,green
T,-32.615118,-69.162414,2977.1,,green
T,-32.615146,-69.162399,2978.2,,green
T,-32.61517,-69.162379,2979.4,,green
T,-32.615188,-69.162362,2980.7,,green
T,-32.615216,-69.16234,2982,,green
T,-32.615236,-69.16231,2983.2,,green
T,-32.615257,-69.162269,2984.4,,green
T,-32.61527,-69.162238,2985.6,,green
T,-32.615289,-69.162195,2986.7,,green
T,-32.615323,-69.162146,2987.7,,green
T,-32.615364,-69.162099,2988.8999999999996,,green
T,-32.61541,-69.162057,2989.3999999999996,,green
T,-32.615446,-69.161947,2988.6,,green
T,-32.615482,-69.161869,2987,,green
T,-32.615505,-69.161709,2986.5,,green
T,-32.615543,-69.161684,2987.1,,green
T,-32.615538,-69.161572,2988,,green
T,-32.615541,-69.161459,2989.3,,green
T,-32.615551,-69.161385,2990.5,,green
T,-32.615558,-69.161344,2991.8,,green
T,-32.615568,-69.161266,2992.9,,green
T,-32.615543,-69.161226,2994.2,,green
T,-32.615541,-69.161228,2994.4,,green
T,-32.615542,-69.161192,2994.4,,green
T,-32.615551,-69.161181,2995.1,,green
T,-32.615551,-69.161159,2995.3,,green
T,-32.615539,-69.161125,2995.3,,green
T,-32.61552,-69.161046,2995.8999999999996,,green
T,-32.615499,-69.161036,2997.2,,green
T,-32.615498,-69.16102,2998.1000000000004,,green
T,-32.615508,-69.16101,2998.6000000000004,,green
T,-32.61551,-69.160949,2999.3,,green
T,-32.615528,-69.160886,3000.4,,green
T,-32.61556,-69.160756,3001.5,,green
T,-32.61562,-69.160666,3002.7,,green
T,-32.615642,-69.160637,3004,,green
T,-32.615646,-69.160582,3004.3999999999996,,green
T,-32.615632,-69.160556,3003.8,,green
T,-32.615623,-69.160515,3004.6000000000004,,green
