type	time	latitude	longitude	altitude (m)	name	desc
T	2019-12-27 14:48:01	-32.930434000	-69.213597000	1417.0	Perilago Norte con Victor Levy	
T	2019-12-27 14:48:02	-32.930434000	-69.213597000	1419.4		
T	2019-12-27 14:48:05	-32.930434000	-69.213597000	1420.6		
T	2019-12-27 14:48:50	-32.930434000	-69.213597000	1419.2		
T	2019-12-27 14:48:59	-32.930434000	-69.213597000	1419.6		
T	2019-12-27 14:49:05	-32.930537000	-69.213453000	1420.4		
T	2019-12-27 14:49:10	-32.930609000	-69.213409000	1421.4		
T	2019-12-27 14:49:17	-32.930717000	-69.213358000	1422.8		
T	2019-12-27 14:49:27	-32.930832000	-69.213313000	1423.2		
T	2019-12-27 14:49:31	-32.930857000	-69.213311000	1423.2		
T	2019-12-27 14:49:34	-32.930870000	-69.213286000	1423.8		
T	2019-12-27 14:49:36	-32.930892000	-69.213271000	1423.8		
T	2019-12-27 14:49:40	-32.930930000	-69.213262000	1423.4		
T	2019-12-27 14:49:45	-32.930958000	-69.213217000	1424.6		
T	2019-12-27 14:49:50	-32.930983000	-69.213188000	1423.8		
T	2019-12-27 14:49:52	-32.930970000	-69.213169000	1424.0		
T	2019-12-27 14:50:18	-32.930986000	-69.213194000	1425.0		
T	2019-12-27 14:50:22	-32.931031000	-69.213120000	1426.2		
T	2019-12-27 14:50:36	-32.931156000	-69.212877000	1427.4		
T	2019-12-27 14:50:39	-32.931170000	-69.212840000	1427.2		
T	2019-12-27 14:51:17	-32.931213000	-69.212787000	1427.4		
T	2019-12-27 14:51:21	-32.931249000	-69.212690000	1428.6		
T	2019-12-27 14:51:26	-32.931280000	-69.212580000	1429.8		
T	2019-12-27 14:51:32	-32.931322000	-69.212478000	1431.2		
T	2019-12-27 14:52:04	-32.931329000	-69.212387000	1429.8		
T	2019-12-27 14:52:09	-32.931333000	-69.212388000	1431.0		
T	2019-12-27 14:52:13	-32.931315000	-69.212427000	1431.4		
T	2019-12-27 14:53:01	-32.931322000	-69.212475000	1429.8		
T	2019-12-27 14:53:07	-32.931354000	-69.212450000	1431.0		
T	2019-12-27 14:58:14	-32.931315000	-69.212488000	1431.0		
T	2019-12-27 14:58:34	-32.931300000	-69.212478000	1430.4		
T	2019-12-27 14:58:54	-32.931350000	-69.212373000	1431.0		
T	2019-12-27 14:59:03	-32.931445000	-69.212163000	1432.2		
T	2019-12-27 14:59:26	-32.931530000	-69.211638000	1432.2		
T	2019-12-27 14:59:31	-32.931437000	-69.211518000	1433.0		
T	2019-12-27 14:59:32	-32.931433000	-69.211489000	1433.2		
