type	time	latitude	longitude	altitude (m)	name	desc
T	2019-10-13 17:35:50	-33.038396000	-68.996903000	1087.0	Salida comefideos a potre	
T	2019-10-13 17:36:13	-33.038430000	-68.996952000	1087.2		
T	2019-10-13 17:36:37	-33.038575000	-68.997530000	1088.2		
T	2019-10-13 17:37:17	-33.038581000	-68.997561000	1088.6		
T	2019-10-13 17:37:27	-33.038584000	-68.997579000	1089.2		
T	2019-10-13 17:38:33	-33.038552000	-68.997589000	1088.2		
T	2019-10-13 17:38:53	-33.038548000	-68.997591000	1089.2		
T	2019-10-13 17:39:16	-33.038562000	-68.997622000	1088.8		
T	2019-10-13 17:39:37	-33.038660000	-68.998280000	1089.6		
T	2019-10-13 17:39:47	-33.038725000	-68.998670000	1090.2		
T	2019-10-13 17:40:04	-33.038816000	-68.999334000	1091.2		
T	2019-10-13 17:40:05	-33.038821000	-68.999375000	1091.6		
T	2019-10-13 17:40:20	-33.038873000	-69.000049000	1092.0		
T	2019-10-13 17:40:35	-33.038892000	-69.000738000	1092.4		
T	2019-10-13 17:40:37	-33.038889000	-69.000833000	1092.6		
T	2019-10-13 17:40:42	-33.038883000	-69.001098000	1092.4		
T	2019-10-13 17:40:49	-33.038844000	-69.001452000	1093.6		
T	2019-10-13 17:40:56	-33.038837000	-69.001741000	1094.4		
T	2019-10-13 17:40:59	-33.038865000	-69.001921000	1093.8		
T	2019-10-13 17:41:01	-33.038924000	-69.002050000	1093.4		
T	2019-10-13 17:41:03	-33.038989000	-69.002185000	1093.2		
T	2019-10-13 17:41:11	-33.038990000	-69.002694000	1092.4		
T	2019-10-13 17:41:26	-33.038885000	-69.003339000	1092.4		
T	2019-10-13 17:41:41	-33.038837000	-69.003967000	1093.6		
T	2019-10-13 17:41:50	-33.038845000	-69.004420000	1092.6		
T	2019-10-13 17:41:54	-33.038915000	-69.004630000	1092.8		
T	2019-10-13 17:42:03	-33.038899000	-69.005145000	1093.2		
T	2019-10-13 17:42:05	-33.038856000	-69.005236000	1093.2		
T	2019-10-13 17:42:08	-33.038775000	-69.005364000	1092.8		
T	2019-10-13 17:42:23	-33.038746000	-69.006032000	1093.8		
T	2019-10-13 17:42:37	-33.038724000	-69.006675000	1094.6		
T	2019-10-13 17:42:49	-33.038708000	-69.007264000	1095.8		
T	2019-10-13 17:43:02	-33.038678000	-69.007926000	1096.2		
T	2019-10-13 17:43:10	-33.038668000	-69.008262000	1097.0		
T	2019-10-13 17:43:18	-33.038672000	-69.008616000	1098.2		
T	2019-10-13 17:43:33	-33.038658000	-69.009298000	1099.0		
T	2019-10-13 17:43:36	-33.038655000	-69.009442000	1099.2		
T	2019-10-13 17:43:49	-33.038516000	-69.010081000	1099.8		
T	2019-10-13 17:43:54	-33.038461000	-69.010291000	1100.2		
T	2019-10-13 17:44:03	-33.038355000	-69.010681000	1101.4		
T	2019-10-13 17:44:11	-33.038311000	-69.010933000	1102.8		
T	2019-10-13 17:44:23	-33.038241000	-69.011301000	1103.6		
T	2019-10-13 17:44:34	-33.038154000	-69.011658000	1104.8		
T	2019-10-13 17:44:40	-33.038108000	-69.011831000	1105.8		
T	2019-10-13 17:44:51	-33.038111000	-69.012215000	1106.8		
T	2019-10-13 17:45:02	-33.038115000	-69.012637000	1108.0		
T	2019-10-13 17:45:21	-33.038150000	-69.013290000	1108.8		
T	2019-10-13 17:45:28	-33.038159000	-69.013565000	1109.0		
T	2019-10-13 17:45:39	-33.038191000	-69.014033000	1110.0		
T	2019-10-13 17:45:52	-33.038226000	-69.014682000	1109.6		
T	2019-10-13 17:46:03	-33.038259000	-69.015384000	1109.2		
T	2019-10-13 17:46:05	-33.038260000	-69.015521000	1108.8		
T	2019-10-13 17:46:11	-33.038272000	-69.015951000	1107.8		
T	2019-10-13 17:46:20	-33.038340000	-69.016623000	1107.0		
T	2019-10-13 17:46:24	-33.038335000	-69.016907000	1106.8		
T	2019-10-13 17:46:30	-33.038343000	-69.017322000	1105.6		
T	2019-10-13 17:46:33	-33.038355000	-69.017527000	1104.4		
T	2019-10-13 17:46:40	-33.038406000	-69.018007000	1102.8		
T	2019-10-13 17:46:45	-33.038480000	-69.018350000	1102.8		
T	2019-10-13 17:46:54	-33.038638000	-69.018965000	1102.2		
T	2019-10-13 17:46:57	-33.038674000	-69.019161000	1101.6		
T	2019-10-13 17:47:08	-33.038710000	-69.019822000	1101.6		
T	2019-10-13 17:47:10	-33.038702000	-69.019941000	1101.8		
T	2019-10-13 17:47:19	-33.038611000	-69.020455000	1102.8		
T	2019-10-13 17:47:27	-33.038520000	-69.020860000	1103.8		
T	2019-10-13 17:47:41	-33.038405000	-69.021503000	1104.2		
T	2019-10-13 17:47:45	-33.038381000	-69.021690000	1104.8		
T	2019-10-13 17:47:53	-33.038337000	-69.022085000	1105.8		
T	2019-10-13 17:47:59	-33.038315000	-69.022375000	1107.0		
T	2019-10-13 17:48:10	-33.038273000	-69.022889000	1108.2		
T	2019-10-13 17:48:18	-33.038325000	-69.023278000	1109.0		
T	2019-10-13 17:48:26	-33.038389000	-69.023681000	1110.2		
T	2019-10-13 17:48:34	-33.038516000	-69.024067000	1111.2		
T	2019-10-13 17:48:42	-33.038647000	-69.024438000	1112.2		
T	2019-10-13 17:48:48	-33.038733000	-69.024715000	1113.4		
T	2019-10-13 17:49:02	-33.038917000	-69.025262000	1114.4		
T	2019-10-13 17:49:14	-33.039045000	-69.025676000	1115.4		
T	2019-10-13 17:49:28	-33.039213000	-69.026211000	1116.6		
T	2019-10-13 17:49:40	-33.039369000	-69.026672000	1117.6		
T	2019-10-13 17:49:49	-33.039511000	-69.027010000	1119.0		
